Indicator Name,Indicator Code,Indicator Name and Definition
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,IC.BUS.DFRN.XQ - Ease of doing business score (0 = lowest performance to 100 = best performance)
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,"SE.TER.CUAT.BA.FE.ZS - Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,"SE.TER.CUAT.BA.MA.ZS - Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,"SE.TER.CUAT.BA.ZS - Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,"SE.SEC.CUAT.LO.FE.ZS - Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,"SE.SEC.CUAT.LO.MA.ZS - Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,"SE.SEC.CUAT.LO.ZS - Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,"SE.SEC.CUAT.PO.FE.ZS - Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,"SE.SEC.CUAT.PO.MA.ZS - Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,"SE.SEC.CUAT.PO.ZS - Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,"SE.PRM.CUAT.FE.ZS - Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,"SE.PRM.CUAT.MA.ZS - Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,"SE.PRM.CUAT.ZS - Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,"SE.TER.CUAT.ST.FE.ZS - Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,"SE.TER.CUAT.ST.MA.ZS - Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,"SE.TER.CUAT.ST.ZS - Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,"SE.SEC.CUAT.UP.FE.ZS - Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,"SE.SEC.CUAT.UP.MA.ZS - Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,"SE.SEC.CUAT.UP.ZS - Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,"SE.TER.CUAT.MS.FE.ZS - Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,"SE.TER.CUAT.MS.MA.ZS - Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,"SE.TER.CUAT.MS.ZS - Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS,"SE.TER.CUAT.DO.FE.ZS - Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,"SE.TER.CUAT.DO.MA.ZS - Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,"SE.TER.CUAT.DO.ZS - Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,EG.USE.ELEC.KH.PC - Electric power consumption (kWh per capita)
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,EG.ELC.LOSS.ZS - Electric power transmission and distribution losses (% of output)
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,EG.ELC.COAL.ZS - Electricity production from coal sources (% of total)
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,EG.ELC.HYRO.ZS - Electricity production from hydroelectric sources (% of total)
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,EG.ELC.NGAS.ZS - Electricity production from natural gas sources (% of total)
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,EG.ELC.NUCL.ZS - Electricity production from nuclear sources (% of total)
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,EG.ELC.PETR.ZS - Electricity production from oil sources (% of total)
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,"EG.ELC.FOSL.ZS - Electricity production from oil, gas and coal sources (% of total)"
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,"EG.ELC.RNWX.ZS - Electricity production from renewable sources, excluding hydroelectric (% of total)"
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,"EG.ELC.RNWX.KH - Electricity production from renewable sources, excluding hydroelectric (kWh)"
"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,"SL.EMP.MPYR.FE.ZS - Employers, female (% of female employment) (modeled ILO estimate)"
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,"SL.EMP.MPYR.MA.ZS - Employers, male (% of male employment) (modeled ILO estimate)"
"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,"SL.EMP.MPYR.ZS - Employers, total (% of total employment) (modeled ILO estimate)"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,SL.AGR.EMPL.ZS - Employment in agriculture (% of total employment) (modeled ILO estimate)
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,"SL.AGR.EMPL.FE.ZS - Employment in agriculture, female (% of female employment) (modeled ILO estimate)"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,"SL.AGR.EMPL.MA.ZS - Employment in agriculture, male (% of male employment) (modeled ILO estimate)"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,SL.IND.EMPL.ZS - Employment in industry (% of total employment) (modeled ILO estimate)
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,"SL.IND.EMPL.FE.ZS - Employment in industry, female (% of female employment) (modeled ILO estimate)"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,"SL.IND.EMPL.MA.ZS - Employment in industry, male (% of male employment) (modeled ILO estimate)"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,SL.SRV.EMPL.ZS - Employment in services (% of total employment) (modeled ILO estimate)
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,"SL.SRV.EMPL.FE.ZS - Employment in services, female (% of female employment) (modeled ILO estimate)"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,"SL.SRV.EMPL.MA.ZS - Employment in services, male (% of male employment) (modeled ILO estimate)"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,"SL.EMP.TOTL.SP.FE.ZS - Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,"SL.EMP.TOTL.SP.FE.NE.ZS - Employment to population ratio, 15+, female (%) (national estimate)"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,"SL.EMP.TOTL.SP.MA.ZS - Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,"SL.EMP.TOTL.SP.MA.NE.ZS - Employment to population ratio, 15+, male (%) (national estimate)"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"SL.EMP.TOTL.SP.ZS - Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,"SL.EMP.TOTL.SP.NE.ZS - Employment to population ratio, 15+, total (%) (national estimate)"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,"SL.EMP.1524.SP.FE.ZS - Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,"SL.EMP.1524.SP.FE.NE.ZS - Employment to population ratio, ages 15-24, female (%) (national estimate)"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,"SL.EMP.1524.SP.MA.ZS - Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,"SL.EMP.1524.SP.MA.NE.ZS - Employment to population ratio, ages 15-24, male (%) (national estimate)"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"SL.EMP.1524.SP.ZS - Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,"SL.EMP.1524.SP.NE.ZS - Employment to population ratio, ages 15-24, total (%) (national estimate)"
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,"EG.IMP.CONS.ZS - Energy imports, net (% of energy use)"
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,EG.EGY.PRIM.PP.KD - Energy intensity level of primary energy (MJ/$2017 PPP GDP)
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,EG.USE.PCAP.KG.OE - Energy use (kg of oil equivalent per capita)
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",EG.USE.COMM.GD.PP.KD,"EG.USE.COMM.GD.PP.KD - Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)"
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,SH.STA.BFED.ZS - Exclusive breastfeeding (% of children under 6 months)
Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,SE.XPD.PRIM.ZS - Expenditure on primary education (% of government expenditure on education)
Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,SE.XPD.SECO.ZS - Expenditure on secondary education (% of government expenditure on education)
Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,SE.XPD.TERT.ZS - Expenditure on tertiary education (% of government expenditure on education)
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS - Expense (% of GDP)
Expense (current LCU),GC.XPN.TOTL.CN,GC.XPN.TOTL.CN - Expense (current LCU)
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,TX.UVI.MRCH.XD.WD - Export unit value index (2015 = 100)
Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,TX.VAL.MRCH.XD.WD - Export value index (2015 = 100)
Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,TX.QTY.MRCH.XD.WD - Export volume index (2015 = 100)
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,NY.EXP.CAPM.KN - Exports as a capacity to import (constant LCU)
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,NE.EXP.GNFS.ZS - Exports of goods and services (% of GDP)
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,NE.EXP.GNFS.KD.ZG - Exports of goods and services (annual % growth)
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"BX.GSR.GNFS.CD - Exports of goods and services (BoP, current US$)"
Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,NE.EXP.GNFS.KD - Exports of goods and services (constant 2015 US$)
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,NE.EXP.GNFS.KN - Exports of goods and services (constant LCU)
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,NE.EXP.GNFS.CN - Exports of goods and services (current LCU)
Exports of goods and services (current US$),NE.EXP.GNFS.CD,NE.EXP.GNFS.CD - Exports of goods and services (current US$)
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,"BX.GSR.TOTL.CD - Exports of goods, services and primary income (BoP, current US$)"
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,NE.RSB.GNFS.ZS - External balance on goods and services (% of GDP)
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,NE.RSB.GNFS.KN - External balance on goods and services (constant LCU)
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,NE.RSB.GNFS.CN - External balance on goods and services (current LCU)
External balance on goods and services (current US$),NE.RSB.GNFS.CD,NE.RSB.GNFS.CD - External balance on goods and services (current US$)
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,DT.DOD.DECT.GN.ZS - External debt stocks (% of GNI)
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,"DT.DOD.DLXF.CD - External debt stocks, long-term (DOD, current US$)"
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,"DT.DOD.DPNG.CD - External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,"DT.DOD.DPPG.CD - External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,"DT.DOD.DSTC.CD - External debt stocks, short-term (DOD, current US$)"
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,"DT.DOD.DECT.CD - External debt stocks, total (DOD, current US$)"
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,SH.XPD.EHEX.CH.ZS - External health expenditure (% of current health expenditure)
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,SH.XPD.EHEX.PC.CD - External health expenditure per capita (current US$)
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,"SH.XPD.EHEX.PP.CD - External health expenditure per capita, PPP (current international $)"
Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,SH.STA.FGMS.ZS - Female genital mutilation prevalence (%)
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,SP.HOU.FEMA.ZS - Female headed households (% of households with a female head)
Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE,SE.LPV.PRIM.SD.FE - Female primary school age children out-of-school (%)
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD.FE,SE.LPV.PRIM.LD.FE - Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,SL.EMP.SMGT.FE.ZS - Female share of employment in senior and middle management (%)
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"SP.DYN.TFRT.IN - Fertility rate, total (births per woman)"
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,AG.CON.FERT.PT.ZS - Fertilizer consumption (% of fertilizer production)
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,AG.CON.FERT.ZS - Fertilizer consumption (kilograms per hectare of arable land)
F-gases emissions from Industrial Processes (Mt CO2e),EN.GHG.FGAS.IP.MT.CE.AR5,EN.GHG.FGAS.IP.MT.CE.AR5 - F-gases emissions from Industrial Processes (Mt CO2e)
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,NE.CON.TOTL.ZS - Final consumption expenditure (% of GDP)
Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,NE.CON.TOTL.KD.ZG - Final consumption expenditure (annual % growth)
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,NE.CON.TOTL.KD - Final consumption expenditure (constant 2015 US$)
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,NE.CON.TOTL.KN - Final consumption expenditure (constant LCU)
Final consumption expenditure (current LCU),NE.CON.TOTL.CN,NE.CON.TOTL.CN - Final consumption expenditure (current LCU)
Final consumption expenditure (current US$),NE.CON.TOTL.CD,NE.CON.TOTL.CD - Final consumption expenditure (current US$)
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,NV.FSM.TOTL.KN - Financial intermediary services indirectly Measured (FISIM) (constant LCU)
Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN,NV.FSM.TOTL.CN - Financial intermediary services indirectly Measured (FISIM) (current LCU)
Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS,IC.FRM.CMPU.ZS - Firms competing against unregistered firms (% of firms)
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,IC.TAX.GIFT.ZS - Firms expected to give gifts in meetings with tax officials (% of firms)
Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS,IC.ELC.OUTG.ZS - Firms experiencing electrical outages (% of firms)
Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,IC.FRM.THEV.ZS - Firms experiencing losses due to theft and vandalism (% of firms)
Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS,IC.FRM.FREG.ZS - Firms formally registered when operations started (% of firms)
Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,IC.FRM.TRNG.ZS - Firms offering formal training (% of firms)
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS,IC.FRM.INFM.ZS - Firms that do not report all sales for tax purposes (% of firms)
Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS,IC.FRM.RSDV.ZS - Firms that spend on R&D (% of firms)
Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,IC.FRM.BNKS.ZS - Firms using banks to finance investment (% of firms)
Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,IC.FRM.BKWC.ZS - Firms using banks to finance working capital (% of firms)
Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS,IC.FRM.METG.ZS - Firms visited or required meetings with tax officials (% of firms)
Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,IC.FRM.FEMO.ZS - Firms with female participation in ownership (% of firms)
Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,IC.FRM.FEMM.ZS - Firms with female top manager (% of firms)
"Fish species, threatened",EN.FSH.THRD.NO,"EN.FSH.THRD.NO - Fish species, threatened"
Fixed broadband subscriptions,IT.NET.BBND,IT.NET.BBND - Fixed broadband subscriptions
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,IT.NET.BBND.P2 - Fixed broadband subscriptions (per 100 people)
Fixed telephone subscriptions,IT.MLT.MAIN,IT.MLT.MAIN - Fixed telephone subscriptions
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,IT.MLT.MAIN.P2 - Fixed telephone subscriptions (per 100 people)
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,TX.VAL.FOOD.ZS.UN - Food exports (% of merchandise exports)
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,TM.VAL.FOOD.ZS.UN - Food imports (% of merchandise imports)
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,AG.PRD.FOOD.XD - Food production index (2014-2016 = 100)
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,"NV.MNF.FBTO.ZS.UN - Food, beverages and tobacco (% of value added in manufacturing)"
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"BN.KLT.DINV.CD - Foreign direct investment, net (BoP, current US$)"
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,"BX.KLT.DINV.WD.GD.ZS - Foreign direct investment, net inflows (% of GDP)"
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"BX.KLT.DINV.CD.WD - Foreign direct investment, net inflows (BoP, current US$)"
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,"BM.KLT.DINV.WD.GD.ZS - Foreign direct investment, net outflows (% of GDP)"
"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,"BM.KLT.DINV.CD.WD - Foreign direct investment, net outflows (BoP, current US$)"
Forest area (% of land area),AG.LND.FRST.ZS,AG.LND.FRST.ZS - Forest area (% of land area)
Forest area (sq. km),AG.LND.FRST.K2,AG.LND.FRST.K2 - Forest area (sq. km)
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,NY.GDP.FRST.RT.ZS - Forest rents (% of GDP)
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,EG.USE.COMM.FO.ZS - Fossil fuel energy consumption (% of total)
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,TX.VAL.FUEL.ZS.UN - Fuel exports (% of merchandise exports)
Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,TM.VAL.FUEL.ZS.UN - Fuel imports (% of merchandise imports)
GDP (constant 2015 US$),NY.GDP.MKTP.KD,NY.GDP.MKTP.KD - GDP (constant 2015 US$)
GDP (constant LCU),NY.GDP.MKTP.KN,NY.GDP.MKTP.KN - GDP (constant LCU)
GDP (current LCU),NY.GDP.MKTP.CN,NY.GDP.MKTP.CN - GDP (current LCU)
GDP (current US$),NY.GDP.MKTP.CD,NY.GDP.MKTP.CD - GDP (current US$)
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,NY.GDP.DEFL.ZS - GDP deflator (base year varies by country)
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,NY.GDP.DEFL.ZS.AD - GDP deflator: linked series (base year varies by country)
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,NY.GDP.MKTP.KD.ZG - GDP growth (annual %)
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,NY.GDP.PCAP.KD - GDP per capita (constant 2015 US$)
GDP per capita (constant LCU),NY.GDP.PCAP.KN,NY.GDP.PCAP.KN - GDP per capita (constant LCU)
GDP per capita (current LCU),NY.GDP.PCAP.CN,NY.GDP.PCAP.CN - GDP per capita (current LCU)
GDP per capita (current US$),NY.GDP.PCAP.CD,NY.GDP.PCAP.CD - GDP per capita (current US$)
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,NY.GDP.PCAP.KD.ZG - GDP per capita growth (annual %)
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"NY.GDP.PCAP.PP.KD - GDP per capita, PPP (constant 2021 international $)"
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"NY.GDP.PCAP.PP.CD - GDP per capita, PPP (current international $)"
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,SL.GDP.PCAP.EM.KD - GDP per person employed (constant 2021 PPP $)
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,EG.GDP.PUSE.KO.PP.KD - GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP - GDP per unit of energy use (PPP $ per kg of oil equivalent)
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,"NY.GDP.MKTP.PP.KD - GDP, PPP (constant 2021 international $)"
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"NY.GDP.MKTP.PP.CD - GDP, PPP (current international $)"
GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,NY.GDP.MKTP.CN.AD - GDP: linked series (current LCU)
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,NE.CON.GOVT.ZS - General government final consumption expenditure (% of GDP)
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,NE.CON.GOVT.KD.ZG - General government final consumption expenditure (annual % growth)
General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,NE.CON.GOVT.KD - General government final consumption expenditure (constant 2015 US$)
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,NE.CON.GOVT.KN - General government final consumption expenditure (constant LCU)
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,NE.CON.GOVT.CN - General government final consumption expenditure (current LCU)
General government final consumption expenditure (current US$),NE.CON.GOVT.CD,NE.CON.GOVT.CD - General government final consumption expenditure (current US$)
Gini index,SI.POV.GINI,SI.POV.GINI - Gini index
GNI (constant 2015 US$),NY.GNP.MKTP.KD,NY.GNP.MKTP.KD - GNI (constant 2015 US$)
GNI (constant LCU),NY.GNP.MKTP.KN,NY.GNP.MKTP.KN - GNI (constant LCU)
GNI (current LCU),NY.GNP.MKTP.CN,NY.GNP.MKTP.CN - GNI (current LCU)
GNI (current US$),NY.GNP.MKTP.CD,NY.GNP.MKTP.CD - GNI (current US$)
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,NY.GNP.MKTP.KD.ZG - GNI growth (annual %)
GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,NY.GNP.PCAP.KD - GNI per capita (constant 2015 US$)
GNI per capita (constant LCU),NY.GNP.PCAP.KN,NY.GNP.PCAP.KN - GNI per capita (constant LCU)
GNI per capita (current LCU),NY.GNP.PCAP.CN,NY.GNP.PCAP.CN - GNI per capita (current LCU)
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,NY.GNP.PCAP.KD.ZG - GNI per capita growth (annual %)
