Indicator Name,Indicator Code,Category,Potential_Categories,Enhanced_Category
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,Education,"['Education', 'Demographics']",Education
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Education,"['Education', 'Demographics']",Education
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,Education,"['Education', 'Demographics']",Education
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,Education,"['Education', 'Demographics']",Education
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS,Healthcare,"['Healthcare', 'Education', 'Demographics', 'Gender']",Education
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,Healthcare,"['Healthcare', 'Education', 'Demographics']",Education
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,Healthcare,"['Healthcare', 'Education', 'Demographics']",Education
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Economic,"['Economic', 'Infrastructure']",Economic
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Infrastructure,['Infrastructure'],Infrastructure
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Infrastructure,['Infrastructure'],Infrastructure
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Climate,"['Climate', 'Infrastructure']",Climate
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Infrastructure,['Infrastructure'],Infrastructure
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Infrastructure,['Infrastructure'],Infrastructure
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,Infrastructure,['Infrastructure'],Infrastructure
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,Infrastructure,['Infrastructure'],Infrastructure
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,Climate,"['Climate', 'Infrastructure']",Climate
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,Climate,"['Climate', 'Infrastructure']",Climate
"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,Labor,"['Labor', 'Gender']",Gender
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,Labor,['Labor'],Labor
"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,Labor,['Labor'],Labor
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Agriculture,"['Agriculture', 'Labor']",Agriculture
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Agriculture,"['Agriculture', 'Labor', 'Gender']",Gender
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Agriculture,"['Agriculture', 'Labor']",Agriculture
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Labor,['Labor'],Labor
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Labor,"['Labor', 'Gender']",Gender
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Labor,['Labor'],Labor
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Labor,['Labor'],Labor
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Labor,"['Labor', 'Gender']",Gender
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Labor,['Labor'],Labor
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Economic,"['Economic', 'Climate']",Economic
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Economic,"['Economic', 'Education', 'Climate']",Economic
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Climate,['Climate'],Climate
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",EG.USE.COMM.GD.PP.KD,Economic,"['Economic', 'Climate']",Economic
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,Other,[],Other
Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,Economic,"['Economic', 'Education', 'Governance']",Education
Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,Economic,"['Economic', 'Education', 'Governance']",Education
Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,Economic,"['Economic', 'Education', 'Governance']",Education
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Economic,['Economic'],Economic
Expense (current LCU),GC.XPN.TOTL.CN,Economic,['Economic'],Economic
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Economic,['Economic'],Economic
Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,Economic,['Economic'],Economic
Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,Economic,['Economic'],Economic
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Economic,['Economic'],Economic
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Economic,['Economic'],Economic
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Economic,['Economic'],Economic
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Economic,"['Economic', 'Financial Services']",Financial Services
Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Economic,['Economic'],Economic
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Economic,['Economic'],Economic
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Economic,['Economic'],Economic
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Economic,['Economic'],Economic
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Economic,"['Economic', 'Education', 'Financial Services']",Financial Services
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Economic,['Economic'],Economic
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Economic,['Economic'],Economic
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Economic,['Economic'],Economic
External balance on goods and services (current US$),NE.RSB.GNFS.CD,Economic,['Economic'],Economic
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,Economic,['Economic'],Economic
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Economic,['Economic'],Economic
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Economic,['Economic'],Economic
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Economic,['Economic'],Economic
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Economic,['Economic'],Economic
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Economic,['Economic'],Economic
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,Economic,"['Economic', 'Healthcare']",Healthcare
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,Economic,"['Economic', 'Healthcare']",Healthcare
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Economic,"['Economic', 'Healthcare']",Healthcare
Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,Gender,['Gender'],Gender
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Demographics,"['Demographics', 'Gender']",Gender
Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE,Education,"['Education', 'Demographics', 'Gender']",Education
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD.FE,Education,"['Education', 'Gender']",Gender
Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Economic,"['Economic', 'Agriculture']",Economic
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,Economic,"['Economic', 'Agriculture']",Economic
F-gases emissions from Industrial Processes (Mt CO2e),EN.GHG.FGAS.IP.MT.CE.AR5,Climate,['Climate'],Climate
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Economic,['Economic'],Economic
Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,Economic,['Economic'],Economic
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Economic,['Economic'],Economic
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,Economic,['Economic'],Economic
Final consumption expenditure (current LCU),NE.CON.TOTL.CN,Economic,['Economic'],Economic
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Economic,['Economic'],Economic
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Economic,['Economic'],Economic
Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN,Economic,['Economic'],Economic
Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS,Economic,['Economic'],Economic
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,Economic,['Economic'],Economic
Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS,Economic,"['Economic', 'Demographics']",Economic
Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,Economic,"['Economic', 'Law & Justice']",Law & Justice
Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS,Economic,['Economic'],Economic
Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,Economic,['Economic'],Economic
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS,Economic,['Economic'],Economic
Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS,Economic,"['Economic', 'Technology']",Economic
Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,Economic,['Economic'],Economic
Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,Economic,['Economic'],Economic
Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS,Economic,['Economic'],Economic
Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,Economic,"['Economic', 'Gender']",Gender
Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,Economic,"['Economic', 'Demographics', 'Gender']",Gender
"Fish species, threatened",EN.FSH.THRD.NO,Agriculture,"['Agriculture', 'Natural Resources']",Natural Resources
Fixed broadband subscriptions,IT.NET.BBND,Infrastructure,"['Infrastructure', 'Technology']",Infrastructure
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Infrastructure,"['Infrastructure', 'Technology']",Infrastructure
Fixed telephone subscriptions,IT.MLT.MAIN,Other,[],Other
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Other,[],Other
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Economic,"['Economic', 'Agriculture']",Economic
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Economic,"['Economic', 'Agriculture']",Economic
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Agriculture,['Agriculture'],Agriculture
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Agriculture,"['Agriculture', 'Demographics', 'Manufacturing']",Manufacturing
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Economic,"['Economic', 'Financial Services']",Financial Services
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Economic,['Economic'],Economic
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Economic,"['Economic', 'Financial Services']",Financial Services
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Economic,['Economic'],Economic
"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,Economic,"['Economic', 'Financial Services']",Financial Services
Forest area (% of land area),AG.LND.FRST.ZS,Climate,"['Climate', 'Agriculture']",Climate
Forest area (sq. km),AG.LND.FRST.K2,Climate,['Climate'],Climate
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,Economic,"['Economic', 'Climate']",Economic
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Economic,"['Economic', 'Climate']",Economic
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Economic,['Economic'],Economic
Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Economic,['Economic'],Economic
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Economic,['Economic'],Economic
GDP (constant LCU),NY.GDP.MKTP.KN,Economic,['Economic'],Economic
GDP (current LCU),NY.GDP.MKTP.CN,Economic,['Economic'],Economic
GDP (current US$),NY.GDP.MKTP.CD,Economic,['Economic'],Economic
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Economic,['Economic'],Economic
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,Economic,['Economic'],Economic
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic,['Economic'],Economic
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Economic,['Economic'],Economic
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Economic,['Economic'],Economic
GDP per capita (current LCU),NY.GDP.PCAP.CN,Economic,['Economic'],Economic
GDP per capita (current US$),NY.GDP.PCAP.CD,Economic,['Economic'],Economic
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Economic,['Economic'],Economic
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Economic,['Economic'],Economic
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Economic,['Economic'],Economic
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Economic,"['Economic', 'Labor']",Economic
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Economic,"['Economic', 'Climate']",Economic
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,Economic,"['Economic', 'Climate']",Economic
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Economic,['Economic'],Economic
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Economic,['Economic'],Economic
GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,Economic,['Economic'],Economic
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Economic,"['Economic', 'Governance']",Economic
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,Economic,"['Economic', 'Governance']",Economic
General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,Economic,"['Economic', 'Governance']",Economic
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,Economic,"['Economic', 'Governance']",Economic
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Economic,"['Economic', 'Governance']",Economic
General government final consumption expenditure (current US$),NE.CON.GOVT.CD,Economic,"['Economic', 'Governance']",Economic
Gini index,SI.POV.GINI,Poverty,['Poverty'],Poverty
GNI (constant 2015 US$),NY.GNP.MKTP.KD,Economic,['Economic'],Economic
GNI (constant LCU),NY.GNP.MKTP.KN,Economic,['Economic'],Economic
GNI (current LCU),NY.GNP.MKTP.CN,Economic,['Economic'],Economic
GNI (current US$),NY.GNP.MKTP.CD,Economic,['Economic'],Economic
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Economic,['Economic'],Economic
GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,Economic,['Economic'],Economic
GNI per capita (constant LCU),NY.GNP.PCAP.KN,Economic,['Economic'],Economic
GNI per capita (current LCU),NY.GNP.PCAP.CN,Economic,['Economic'],Economic
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Economic,['Economic'],Economic
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Economic,['Economic'],Economic
"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,Economic,['Economic'],Economic
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Economic,['Economic'],Economic
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Economic,['Economic'],Economic
"GNI, PPP (constant 2021 international $)",NY.GNP.MKTP.PP.KD,Economic,['Economic'],Economic
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Economic,['Economic'],Economic
GNI: linked series (current LCU),NY.GNP.MKTP.CN.AD,Economic,['Economic'],Economic
Goods and services expense (% of expense),GC.XPN.GSRV.ZS,Economic,['Economic'],Economic
Goods and services expense (current LCU),GC.XPN.GSRV.CN,Economic,['Economic'],Economic
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Economic,"['Economic', 'Financial Services']",Financial Services
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Economic,"['Economic', 'Financial Services']",Financial Services
Government Effectiveness: Estimate,GE.EST,Governance,['Governance'],Governance
Government Effectiveness: Number of Sources,GE.NO.SRC,Governance,['Governance'],Governance
Government Effectiveness: Percentile Rank,GE.PER.RNK,Governance,['Governance'],Governance
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,Governance,['Governance'],Governance
"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,Governance,['Governance'],Governance
Government Effectiveness: Standard Error,GE.STD.ERR,Governance,['Governance'],Governance
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Economic,"['Economic', 'Education', 'Governance']",Education
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Economic,"['Economic', 'Education', 'Governance']",Education
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Economic,"['Economic', 'Education', 'Governance']",Economic
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Economic,"['Economic', 'Education', 'Governance']",Economic
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Economic,"['Economic', 'Education', 'Governance']",Economic
Grants and other revenue (% of revenue),GC.REV.GOTR.ZS,Economic,['Economic'],Economic
Grants and other revenue (current LCU),GC.REV.GOTR.CN,Economic,['Economic'],Economic
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,Technology,"['Technology', 'Financial Services']",Financial Services
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Economic,['Economic'],Economic
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,Economic,['Economic'],Economic
Gross capital formation (constant 2015 US$),NE.GDI.TOTL.KD,Economic,['Economic'],Economic
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,Economic,['Economic'],Economic
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Economic,['Economic'],Economic
Gross capital formation (current US$),NE.GDI.TOTL.CD,Economic,['Economic'],Economic
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Economic,['Economic'],Economic
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Economic,['Economic'],Economic
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Economic,['Economic'],Economic
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Economic,['Economic'],Economic
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Economic,['Economic'],Economic
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Economic,['Economic'],Economic
Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,Economic,['Economic'],Economic
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Economic,['Economic'],Economic
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Economic,['Economic'],Economic
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Economic,['Economic'],Economic
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Economic,['Economic'],Economic
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN,Economic,['Economic'],Economic
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,Education,"['Education', 'Demographics']",Education
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,Education,"['Education', 'Demographics']",Education
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Economic,['Economic'],Economic
Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,Economic,['Economic'],Economic
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Economic,['Economic'],Economic
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Economic,['Economic'],Economic
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Economic,['Economic'],Economic
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,Economic,['Economic'],Economic
Gross savings (% of GDP),NY.GNS.ICTR.ZS,Economic,['Economic'],Economic
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Economic,['Economic'],Economic
Gross savings (current LCU),NY.GNS.ICTR.CN,Economic,['Economic'],Economic
Gross savings (current US$),NY.GNS.ICTR.CD,Economic,['Economic'],Economic
Gross value added at basic prices (GVA) (constant 2015 US$),NY.GDP.FCST.KD,Economic,['Economic'],Economic
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,Economic,['Economic'],Economic
Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN,Economic,['Economic'],Economic
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Economic,['Economic'],Economic
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Economic,"['Economic', 'Technology', 'Manufacturing']",Economic
High-technology exports (current US$),TX.VAL.TECH.CD,Economic,"['Economic', 'Technology']",Economic
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Healthcare,['Healthcare'],Healthcare
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Economic,"['Economic', 'Demographics']",Economic
Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,Economic,"['Economic', 'Demographics']",Economic
Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,Economic,"['Economic', 'Demographics']",Economic
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Economic,"['Economic', 'Demographics']",Economic
Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,Economic,"['Economic', 'Demographics']",Economic
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Economic,"['Economic', 'Demographics']",Economic
Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Economic,"['Economic', 'Demographics']",Economic
Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,Economic,"['Economic', 'Demographics']",Economic
"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",NE.CON.PRVT.PP.KD,Economic,"['Economic', 'Demographics']",Economic
"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,Economic,"['Economic', 'Demographics']",Economic
Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD,Economic,"['Economic', 'Demographics']",Economic
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Economic,['Economic'],Economic
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Economic,"['Economic', 'Gender']",Gender
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Economic,"['Economic', 'Gender']",Gender
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Economic,"['Economic', 'Gender']",Gender
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Economic,['Economic'],Economic
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Economic,['Economic'],Economic
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Economic,['Economic'],Economic
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Economic,['Economic'],Economic
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Economic,['Economic'],Economic
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Financial Services,['Financial Services'],Financial Services
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,Economic,"['Economic', 'Infrastructure', 'Technology']",Economic
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Economic,"['Economic', 'Infrastructure', 'Technology']",Economic
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,Economic,"['Economic', 'Infrastructure', 'Technology', 'Financial Services']",Financial Services
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,Economic,"['Economic', 'Infrastructure', 'Technology', 'Financial Services']",Financial Services
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Natural Resources,['Natural Resources'],Natural Resources
"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,Economic,['Economic'],Economic
"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD,Economic,['Economic'],Economic
