Indicator Code,Indicator Name,Topic,Coarse_Topic
FX.OWN.TOTL.SO.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",Financial Sector: Access,Other
FX.OWN.TOTL.YG.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Financial Sector: Access,Other
FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Financial Sector: Access,Other
GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),Infrastructure: Technology,Infrastructure & Technology
GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.AST.TOTL.GD.ZS,Net acquisition of financial assets (% of GDP),Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.DOD.TOTL.CN,"Central government debt, total (current LCU)",Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.LBL.TOTL.CN,"Net incurrence of liabilities, total (current LCU)",Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.LBL.TOTL.GD.ZS,"Net incurrence of liabilities, total (% of GDP)",Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.NFN.TOTL.CN,Net investment in nonfinancial assets (current LCU),Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.NFN.TOTL.GD.ZS,Net investment in nonfinancial assets (% of GDP),Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.NLD.TOTL.CN,Net lending (+) / net borrowing (-) (current LCU),Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.NLD.TOTL.GD.ZS,Net lending (+) / net borrowing (-) (% of GDP),Public Sector: Government finance: Deficit & financing,Economy & Finance
GC.REV.GOTR.CN,Grants and other revenue (current LCU),Public Sector: Government finance: Revenue,Economy & Finance
GC.REV.GOTR.ZS,Grants and other revenue (% of revenue),Public Sector: Government finance: Revenue,Economy & Finance
GC.REV.SOCL.CN,Social contributions (current LCU),Public Sector: Government finance: Revenue,Economy & Finance
GC.REV.SOCL.ZS,Social contributions (% of revenue),Public Sector: Government finance: Revenue,Economy & Finance
GC.REV.XGRT.CN,"Revenue, excluding grants (current LCU)",Public Sector: Government finance: Revenue,Economy & Finance
GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.EXPT.CN,Taxes on exports (current LCU),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.EXPT.ZS,Taxes on exports (% of tax revenue),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.GSRV.CN,Taxes on goods and services (current LCU),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.GSRV.RV.ZS,Taxes on goods and services (% of revenue),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.GSRV.VA.ZS,Taxes on goods and services (% value added of industry and services),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.IMPT.CN,Customs and other import duties (current LCU),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.IMPT.ZS,Customs and other import duties (% of tax revenue),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.INTT.CN,Taxes on international trade (current LCU),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.INTT.RV.ZS,Taxes on international trade (% of revenue),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.OTHR.CN,Other taxes (current LCU),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.OTHR.RV.ZS,Other taxes (% of revenue),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.TOTL.CN,Tax revenue (current LCU),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.TOTL.GD.ZS,Tax revenue (% of GDP),Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.YPKG.CN,"Taxes on income, profits and capital gains (current LCU)",Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.YPKG.RV.ZS,"Taxes on income, profits and capital gains (% of revenue)",Public Sector: Government finance: Revenue,Economy & Finance
GC.TAX.YPKG.ZS,"Taxes on income, profits and capital gains (% of total taxes)",Public Sector: Government finance: Revenue,Economy & Finance
GC.XPN.COMP.CN,Compensation of employees (current LCU),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.COMP.ZS,Compensation of employees (% of expense),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.GSRV.CN,Goods and services expense (current LCU),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.GSRV.ZS,Goods and services expense (% of expense),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.INTP.CN,Interest payments (current LCU),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.INTP.RV.ZS,Interest payments (% of revenue),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.INTP.ZS,Interest payments (% of expense),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.OTHR.CN,Other expense (current LCU),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.OTHR.ZS,Other expense (% of expense),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.TOTL.CN,Expense (current LCU),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.TOTL.GD.ZS,Expense (% of GDP),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.TRFT.CN,Subsidies and other transfers (current LCU),Public Sector: Government finance: Expense,Economy & Finance
GC.XPN.TRFT.ZS,Subsidies and other transfers (% of expense),Public Sector: Government finance: Expense,Economy & Finance
GE.EST,Government Effectiveness: Estimate,Public Sector: Policy & institutions,Government & Governance
GE.NO.SRC,Government Effectiveness: Number of Sources,Public Sector: Policy & institutions,Government & Governance
GE.PER.RNK,Government Effectiveness: Percentile Rank,Public Sector: Policy & institutions,Government & Governance
GE.PER.RNK.LOWER,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
GE.PER.RNK.UPPER,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
GE.STD.ERR,Government Effectiveness: Standard Error,Public Sector: Policy & institutions,Government & Governance
GF.XPD.BUDG.ZS,Primary government expenditures as a proportion of original approved budget (%),Public Sector: Government finance,Economy & Finance
HD.HCI.OVRL,Human capital index (HCI) (scale 0-1),Public Sector: Policy & institutions,Government & Governance
HD.HCI.OVRL.FE,"Human capital index (HCI), female (scale 0-1)",Public Sector: Policy & institutions,Government & Governance
HD.HCI.OVRL.LB,"Human capital index (HCI), lower bound (scale 0-1)",Public Sector: Policy & institutions,Government & Governance
HD.HCI.OVRL.LB.FE,"Human capital index (HCI), female, lower bound (scale 0-1)",Public Sector: Policy & institutions,Government & Governance
HD.HCI.OVRL.LB.MA,"Human capital index (HCI), male, lower bound (scale 0-1)",Public Sector: Policy & institutions,Government & Governance
HD.HCI.OVRL.MA,"Human capital index (HCI), male (scale 0-1)",Public Sector: Policy & institutions,Government & Governance
HD.HCI.OVRL.UB,"Human capital index (HCI), upper bound (scale 0-1)",Public Sector: Policy & institutions,Government & Governance
HD.HCI.OVRL.UB.FE,"Human capital index (HCI), female, upper bound (scale 0-1)",Public Sector: Policy & institutions,Government & Governance
HD.HCI.OVRL.UB.MA,"Human capital index (HCI), male, upper bound (scale 0-1)",Public Sector: Policy & institutions,Government & Governance
IC.BUS.DFRN.XQ,Ease of doing business score (0 = lowest performance to 100 = best performance),Private Sector & Trade: Business environment,Economy & Finance
IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure),Private Sector & Trade: Business environment,Economy & Finance
IC.BUS.EASE.XQ,Ease of doing business rank (1=most business-friendly regulations),Private Sector & Trade: Business environment,Economy & Finance
IC.BUS.NDNS.ZS,"New business density (new registrations per 1,000 people ages 15-64)",Private Sector & Trade: Business environment,Economy & Finance
IC.BUS.NREG,New businesses registered (number),Private Sector & Trade: Business environment,Economy & Finance
IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high),Private Sector & Trade: Business environment,Economy & Finance
IC.CRD.PRVT.ZS,Private credit bureau coverage (% of adults),Private Sector & Trade: Business environment,Economy & Finance
IC.CRD.PUBL.ZS,Public credit registry coverage (% of adults),Private Sector & Trade: Business environment,Economy & Finance
IC.CUS.DURS.EX,Average time to clear exports through customs (days),Private Sector & Trade: Business environment,Economy & Finance
IC.ELC.DURS,Time to obtain an electrical connection (days),Private Sector & Trade: Business environment,Economy & Finance
IC.ELC.OUTG,Power outages in firms in a typical month (number),Private Sector & Trade: Business environment,Economy & Finance
IC.ELC.OUTG.ZS,Firms experiencing electrical outages (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.ELC.TIME,Time required to get electricity (days),Private Sector & Trade: Business environment,Economy & Finance
IC.EXP.CSBC.CD,"Cost to export, border compliance (US$)",Private Sector & Trade: Trade facilitation,Economy & Finance
IC.EXP.CSDC.CD,"Cost to export, documentary compliance (US$)",Private Sector & Trade: Trade facilitation,Economy & Finance
IC.EXP.TMBC,"Time to export, border compliance (hours)",Private Sector & Trade: Trade facilitation,Economy & Finance
IC.EXP.TMDC,"Time to export, documentary compliance (hours)",Private Sector & Trade: Trade facilitation,Economy & Finance
IC.FRM.BKWC.ZS,Firms using banks to finance working capital (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.BRIB.ZS,Bribery incidence (% of firms experiencing at least one bribe payment request),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.CMPU.ZS,Firms competing against unregistered firms (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.CORR.ZS,Informal payments to public officials (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.CRIM.ZS,Losses due to theft and vandalism (% of annual sales of affected firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.DURS,Time required to obtain an operating license (days),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.FEMM.ZS,Firms with female top manager (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.INFM.ZS,Firms that do not report all sales for tax purposes (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.METG.ZS,Firms visited or required meetings with tax officials (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales for affected firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.RSDV.ZS,Firms that spend on R&D (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.THEV.ZS,Firms experiencing losses due to theft and vandalism (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.FRM.TRNG.ZS,Firms offering formal training (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.GOV.DURS.ZS,Time spent dealing with the requirements of government regulations (% of senior management time),Private Sector & Trade: Business environment,Economy & Finance
IC.IMP.CSBC.CD,"Cost to import, border compliance (US$)",Private Sector & Trade: Trade facilitation,Economy & Finance
IC.IMP.CSDC.CD,"Cost to import, documentary compliance (US$)",Private Sector & Trade: Trade facilitation,Economy & Finance
IC.IMP.TMBC,"Time to import, border compliance (hours)",Private Sector & Trade: Trade facilitation,Economy & Finance
IC.IMP.TMDC,"Time to import, documentary compliance (hours)",Private Sector & Trade: Trade facilitation,Economy & Finance
IC.ISV.DURS,Time to resolve insolvency (years),Private Sector & Trade: Business environment,Economy & Finance
IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong),Private Sector & Trade: Business environment,Economy & Finance
IC.LGL.DURS,Time required to enforce a contract (days),Private Sector & Trade: Business environment,Economy & Finance
IC.PRP.DURS,Time required to register property (days),Private Sector & Trade: Business environment,Economy & Finance
IC.PRP.PROC,Procedures to register property (number),Private Sector & Trade: Business environment,Economy & Finance
IC.REG.COST.PC.FE.ZS,"Cost of business start-up procedures, female (% of GNI per capita)",Private Sector & Trade: Business environment,Economy & Finance
IC.REG.COST.PC.MA.ZS,"Cost of business start-up procedures, male (% of GNI per capita)",Private Sector & Trade: Business environment,Economy & Finance
IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita),Private Sector & Trade: Business environment,Economy & Finance
IC.REG.DURS,Time required to start a business (days),Private Sector & Trade: Business environment,Economy & Finance
IC.REG.DURS.FE,"Time required to start a business, female (days)",Private Sector & Trade: Business environment,Economy & Finance
IC.REG.DURS.MA,"Time required to start a business, male (days)",Private Sector & Trade: Business environment,Economy & Finance
IC.REG.PROC,Start-up procedures to register a business (number),Private Sector & Trade: Business environment,Economy & Finance
IC.REG.PROC.FE,"Start-up procedures to register a business, female (number)",Private Sector & Trade: Business environment,Economy & Finance
IC.REG.PROC.MA,"Start-up procedures to register a business, male (number)",Private Sector & Trade: Business environment,Economy & Finance
IC.TAX.DURS,Time to prepare and pay taxes (hours),Private Sector & Trade: Business environment,Economy & Finance
IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms),Private Sector & Trade: Business environment,Economy & Finance
IC.TAX.LABR.CP.ZS,Labor tax and contributions (% of commercial profits),Private Sector & Trade: Business environment,Economy & Finance
IC.TAX.METG,Number of visits or required meetings with tax officials (average for affected firms),Private Sector & Trade: Business environment,Economy & Finance
IC.TAX.OTHR.CP.ZS,Other taxes payable by businesses (% of commercial profits),Private Sector & Trade: Business environment,Economy & Finance
IC.TAX.PAYM,Tax payments (number),Private Sector & Trade: Business environment,Economy & Finance
IC.TAX.PRFT.CP.ZS,Profit tax (% of commercial profits),Private Sector & Trade: Business environment,Economy & Finance
IC.TAX.TOTL.CP.ZS,Total tax and contribution rate (% of profit),Private Sector & Trade: Business environment,Economy & Finance
IC.WRH.DURS,Time required to build a warehouse (days),Private Sector & Trade: Business environment,Economy & Finance
IC.WRH.PROC,Procedures to build a warehouse (number),Private Sector & Trade: Business environment,Economy & Finance
IE.PPI.ENGY.CD,Investment in energy with private participation (current US$),Private Sector & Trade: Private infrastructure investment,Economy & Finance
IE.PPI.ICTI.CD,Investment in ICT with private participation (current US$),Private Sector & Trade: Private infrastructure investment,Economy & Finance
IE.PPI.TRAN.CD,Investment in transport with private participation (current US$),Private Sector & Trade: Private infrastructure investment,Economy & Finance
IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$),Private Sector & Trade: Private infrastructure investment,Economy & Finance
IE.PPN.ENGY.CD,Public private partnerships investment in energy (current US$),Private Sector & Trade: Private infrastructure investment,Economy & Finance
IE.PPN.ICTI.CD,Public private partnerships investment in ICT (current US$),Private Sector & Trade: Private infrastructure investment,Economy & Finance
IE.PPN.TRAN.CD,Public private partnerships investment in transport (current US$),Private Sector & Trade: Private infrastructure investment,Economy & Finance
IE.PPN.WATR.CD,Public private partnerships investment in water and sanitation (current US$),Private Sector & Trade: Private infrastructure investment,Economy & Finance
IP.IDS.NRCT,"Industrial design applications, nonresident, by count",Infrastructure: Technology,Infrastructure & Technology
IP.IDS.RSCT,"Industrial design applications, resident, by count",Infrastructure: Technology,Infrastructure & Technology
IP.JRN.ARTC.SC,Scientific and technical journal articles,Infrastructure: Technology,Infrastructure & Technology
IP.PAT.NRES,"Patent applications, nonresidents",Infrastructure: Technology,Infrastructure & Technology
IP.PAT.RESD,"Patent applications, residents",Infrastructure: Technology,Infrastructure & Technology
IP.TMK.NRCT,"Trademark applications, nonresident, by count",Infrastructure: Technology,Infrastructure & Technology
IP.TMK.RSCT,"Trademark applications, resident, by count",Infrastructure: Technology,Infrastructure & Technology
IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.DEBT.XQ,CPIA debt policy rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.ECON.XQ,CPIA economic management cluster average (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.FINS.XQ,CPIA financial sector rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.FISP.XQ,CPIA fiscal policy rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.GNDR.XQ,CPIA gender equality rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.HRES.XQ,CPIA building human resources rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.IRAI.XQ,IDA resource allocation index (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.PRES.XQ,CPIA equity of public resource use rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.PROP.XQ,CPIA property rights and rule-based governance rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.SOCI.XQ,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.STRC.XQ,CPIA structural policies cluster average (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.TRAD.XQ,CPIA trade rating (1=low to 6=high),Public Sector: Policy & institutions,Government & Governance
IQ.CPA.TRAN.XQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",Public Sector: Policy & institutions,Government & Governance
IQ.SPI.OVRL,Statistical performance indicators (SPI): Overall score (scale 0-100),Public Sector: Policy & institutions,Government & Governance
IQ.SPI.PIL1,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),Public Sector: Policy & institutions,Government & Governance
IQ.SPI.PIL2,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),Public Sector: Policy & institutions,Government & Governance
IQ.SPI.PIL3,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),Public Sector: Policy & institutions,Government & Governance
IQ.SPI.PIL4,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),Public Sector: Policy & institutions,Government & Governance
IQ.SPI.PIL5,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),Public Sector: Policy & institutions,Government & Governance
IS.AIR.DPRT,"Air transport, registered carrier departures worldwide",Infrastructure: Transportation,Infrastructure & Technology
IS.AIR.GOOD.MT.K1,"Air transport, freight (million ton-km)",Infrastructure: Transportation,Infrastructure & Technology
IS.AIR.PSGR,"Air transport, passengers carried",Infrastructure: Transportation,Infrastructure & Technology
IS.RRS.GOOD.MT.K6,"Railways, goods transported (million ton-km)",Infrastructure: Transportation,Infrastructure & Technology
IS.RRS.PASG.KM,"Railways, passengers carried (million passenger-km)",Infrastructure: Transportation,Infrastructure & Technology
IS.RRS.TOTL.KM,Rail lines (total route-km),Infrastructure: Transportation,Infrastructure & Technology
IS.SHP.GCNW.XQ,Liner shipping connectivity index (maximum value in 2004 = 100),Infrastructure: Transportation,Infrastructure & Technology
IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units),Infrastructure: Transportation,Infrastructure & Technology
IT.CEL.SETS,Mobile cellular subscriptions,Infrastructure: Communications,Infrastructure & Technology
IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),Infrastructure: Communications,Infrastructure & Technology
IT.MLT.MAIN,Fixed telephone subscriptions,Infrastructure: Communications,Infrastructure & Technology
IT.MLT.MAIN.P2,Fixed telephone subscriptions (per 100 people),Infrastructure: Communications,Infrastructure & Technology
IT.NET.BBND,Fixed broadband subscriptions,Infrastructure: Communications,Infrastructure & Technology
IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people),Infrastructure: Communications,Infrastructure & Technology
IT.NET.SECR,Secure Internet servers,Infrastructure: Communications,Infrastructure & Technology
IT.NET.SECR.P6,Secure Internet servers (per 1 million people),Infrastructure: Communications,Infrastructure & Technology
IT.NET.USER.FE.ZS,"Individuals using the Internet, female (% of female population)",Infrastructure: Communications,Infrastructure & Technology
IT.NET.USER.MA.ZS,"Individuals using the Internet, male (% of male population)",Infrastructure: Communications,Infrastructure & Technology
IT.NET.USER.ZS,Individuals using the Internet (% of population),Infrastructure: Communications,Infrastructure & Technology
LP.EXP.DURS.MD,"Lead time to export, median case (days)",Private Sector & Trade: Trade facilitation,Economy & Finance
LP.IMP.DURS.MD,"Lead time to import, median case (days)",Private Sector & Trade: Trade facilitation,Economy & Finance
LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),Trade,Economy & Finance
LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),Private Sector & Trade: Trade facilitation,Economy & Finance
LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),Private Sector & Trade: Trade facilitation,Economy & Finance
LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),Private Sector & Trade: Trade facilitation,Economy & Finance
LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high),Private Sector & Trade: Trade facilitation,Economy & Finance
LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),Private Sector & Trade: Trade facilitation,Economy & Finance
LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),Private Sector & Trade: Trade facilitation,Economy & Finance
MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),Public Sector: Defense & arms trade,Economy & Finance
MS.MIL.TOTL.P1,"Armed forces personnel, total",Public Sector: Defense & arms trade,Economy & Finance
MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force),Public Sector: Defense & arms trade,Economy & Finance
MS.MIL.XPND.CD,Military expenditure (current USD),Public Sector: Defense & arms trade,Economy & Finance
MS.MIL.XPND.CN,Military expenditure (current LCU),Public Sector: Defense & arms trade,Economy & Finance
MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),Public Sector: Defense & arms trade,Economy & Finance
MS.MIL.XPND.ZS,Military expenditure (% of general government expenditure),Public Sector: Defense & arms trade,Economy & Finance
MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values),Public Sector: Defense & arms trade,Economy & Finance
NE.CON.GOVT.CD,General government final consumption expenditure (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP,Economy & Finance
NE.CON.GOVT.CN,General government final consumption expenditure (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP,Economy & Finance
NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$),Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP,Economy & Finance
NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth),Economic Policy & Debt: National accounts: Growth rates,Economy & Finance
NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP,Economy & Finance
NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),Economic Policy & Debt: National accounts: Shares of GDP & other,Economy & Finance
NE.CON.PRVT.CD,Household and NPISHs Final consumption expenditure (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP,Economy & Finance
NE.CON.PRVT.CN,Household and NPISHs Final consumption expenditure (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP,Economy & Finance
NE.CON.PRVT.CN.AD,Households and NPISHs final consumption expenditure: linked series (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP,Economy & Finance
NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure (constant 2015 US$),Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP,Economy & Finance
NE.CON.PRVT.KD.ZG,Household and NPISHs Final consumption expenditure (annual % growth),Economic Policy & Debt: National accounts: Growth rates,Economy & Finance
NE.CON.PRVT.KN,Household and NPISHs Final consumption expenditure (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP,Economy & Finance
NE.CON.PRVT.PC.KD,Households and NPISHs final consumption expenditure per capita (constant 2015 US$),Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP,Economy & Finance
NE.CON.PRVT.PC.KD.ZG,Household final consumption expenditure per capita growth (annual %),Economic Policy & Debt: National accounts: Growth rates,Economy & Finance
NE.CON.PRVT.PP.CD,"Households and NPISHs Final consumption expenditure, PPP (current international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Economic Policy & Debt: National accounts: Shares of GDP & other,Economy & Finance
NE.CON.TOTL.CD,Final consumption expenditure (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP,Economy & Finance
NE.CON.TOTL.CN,Final consumption expenditure (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP,Economy & Finance
NE.CON.TOTL.KD,Final consumption expenditure (constant 2015 US$),Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP,Economy & Finance
NE.CON.TOTL.KD.ZG,Final consumption expenditure (annual % growth),Economic Policy & Debt: National accounts: Growth rates,Economy & Finance
NE.CON.TOTL.KN,Final consumption expenditure (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP,Economy & Finance
NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP),Economic Policy & Debt: National accounts: Shares of GDP & other,Economy & Finance
NE.DAB.DEFL.ZS,Gross national expenditure deflator (base year varies by country),Economic Policy & Debt: National accounts: Shares of GDP & other,Economy & Finance
NE.DAB.TOTL.CD,Gross national expenditure (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP,Economy & Finance
NE.DAB.TOTL.CN,Gross national expenditure (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP,Economy & Finance
NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP,Economy & Finance
NE.DAB.TOTL.KN,Gross national expenditure (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP,Economy & Finance
NE.DAB.TOTL.ZS,Gross national expenditure (% of GDP),Economic Policy & Debt: National accounts: Shares of GDP & other,Economy & Finance
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP,Economy & Finance
NE.EXP.GNFS.CN,Exports of goods and services (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP,Economy & Finance
